owner_id,phone_number,operator
713435226384,8738672547,Vi
201381692692,7382682286,Jio
932454315965,8672505032,Airtel
597780593807,8519812737,Jio
305014312857,9090565666,Airtel
715924843520,9503368793,Airtel
631684583158,8973088381,Jio
464481351599,8089572197,BSNL
153518680076,6991900288,Vi
762332701247,9063751709,Vi
143478685058,8526259917,Airtel
898474583942,7037430806,Jio
573541272288,9674756237,Jio
508144880434,8347819946,Jio
884522253399,6691470387,Airtel
295130246719,6161701220,Jio
258187542083,7338499518,Jio
977652026781,7419177113,Jio
238522156427,6821978772,Airtel
768041499684,6442867552,BSNL
403040404606,6740208501,Airtel
463286207758,6268482679,Jio
223989254378,8490768021,Airtel
928066028277,7026115174,Jio
204874163742,6789158746,Airtel
118763842010,8350125470,Jio
294395703704,8028706730,Jio
404610001129,9452995324,Airtel
902832039124,9065991627,Jio
298615320215,9801744348,BSNL
690931483513,9642997639,Jio
922732273151,9575469786,Airtel
650848133601,8097658100,BSNL
305293641372,7181651651,Vi
454844495613,6258146569,BSNL
330760070632,9518644239,Airtel
631618912424,8827721851,Vi
455660232097,7411641401,Vi
296531942377,7206521480,Airtel
159549823429,7395007342,Jio
679569863070,8245210163,Jio
233701979152,6984905797,Airtel
620991777819,9398898351,Airtel
212856080651,9472973944,Airtel
660411121156,7779334665,Airtel
376775594470,7518972003,Airtel
680447687087,9962563582,Vi
426716334377,6296107770,Jio
538655614526,8275115532,BSNL
987601466574,8964647663,Airtel
930015463902,9493652148,Jio
143548042264,9403197061,BSNL
539738792685,9034220479,BSNL
757970921610,6184879200,BSNL
528589608876,7977116502,BSNL
513413184633,6158750258,Jio
238944368964,6289555294,Airtel
591290396868,9909120626,BSNL
117865386769,6642843146,BSNL
517678295257,9416912695,BSNL
195584718496,6289892934,Vi
501107933266,7252399559,Airtel
340239243686,6623220970,Vi
857977522534,6336643582,Vi
691299255386,9673035475,Vi
131644130430,9168377207,BSNL
815666951752,7049263664,Vi
161785322660,8808514499,Airtel
324392326975,8084045884,BSNL
298541999348,9840614019,Jio
860935885324,9745467854,BSNL
121451015840,7003001939,BSNL
645434109957,7836182938,Jio
740843768020,9630322327,Jio
686205798404,6130961268,BSNL
275629603505,8822172069,Airtel
634284227838,8110051270,Vi
943033872509,9278050411,Vi
229588315411,8399542100,Airtel
162115591479,9735193218,Airtel
264532701986,9024758709,Vi
983127056379,8368025223,Jio
976758471560,8512497760,Vi
197109794598,7824094235,Vi
695920304455,9573668592,BSNL
312396119199,8370922954,Jio
543649146353,7121535874,BSNL
224170645317,9481194002,Jio
193998448826,6127596277,Jio
622864886792,6282543508,Jio
340982770448,9846685903,BSNL
214577611798,8279120479,Vi
551059897654,8736547475,Airtel
281229123829,9370439227,Airtel
444017836065,7062434276,Vi
680435271472,9222333446,BSNL
377725772422,6382671395,Jio
400175387051,7955998411,Jio
129592730490,9671797898,Jio
805401165305,6826768220,Jio
266180833938,9349819382,Airtel
856218691363,7769792269,BSNL
318987965619,8832355345,Vi
837832982859,7127111406,Jio
316567049119,6670128443,Vi
530529663870,8708702451,BSNL
785231694437,6758871063,Jio
519075088640,9157611358,Vi
348592148608,8001551848,Airtel
668308370141,9066600446,Airtel
275696475290,6753913763,Airtel
537788857663,6382570880,BSNL
830014323042,6217453889,BSNL
307089474737,7873845421,BSNL
487529321571,9322918355,Vi
735870023968,7995640880,Jio
742418952831,8090286746,Jio
874775429473,9548269718,BSNL
541599508648,8765901542,Jio
672348722493,9728899663,BSNL
528288459035,6066042242,Jio
270259601135,6409671003,Airtel
843636443098,8246548232,BSNL
734499993024,9397332362,Jio
355366557096,6461100834,Airtel
119811058088,7041362038,Jio
601457719180,6857216305,Vi
480118641228,7938596183,Jio
459532720420,8603862696,BSNL
810137858025,6973790602,BSNL
739707479963,8304360327,BSNL
680433254298,6618234370,Jio
648193339377,8338558956,Vi
143477929176,8178761677,Jio
718915946187,6352036055,Airtel
112394023744,8551913254,BSNL
707036760031,8189264570,BSNL
155622287953,6709991755,Airtel
764585089262,9334947809,Vi
624187364879,7014499487,Airtel
153347818509,6244474267,BSNL
661895385564,8746711075,Airtel
721312631204,7741135948,Vi
285683422957,8144026726,Airtel
652037212303,9888695461,BSNL
389519160029,8795020879,Jio
680508763066,8372105106,BSNL
680513307537,6352171001,Airtel
348447047864,7246268882,Airtel
844133911066,7632856824,Airtel
478074510106,6531359144,Airtel
498663054597,7035564108,Airtel
387285145547,6499384334,Jio
375286079922,6786893735,Vi
801194082088,9705230097,BSNL
762583185785,9853373552,BSNL
761046300932,6274756254,Airtel
917512043972,7007112477,Vi
665932071426,8760649949,BSNL
914464985086,8736051064,Airtel
973977139144,9441993001,Airtel
855495141241,9235568794,Airtel
830183568906,8754278327,Vi
478532916846,6417445206,Vi
311882053474,8780068660,BSNL
993612472643,9788157079,Jio
516228413204,8668299517,Vi
318489937090,9019847352,BSNL
622178226263,7938473353,Vi
799164177443,9267624046,Airtel
706006017109,6406227391,Jio
212243373546,8907967625,Airtel
652131110163,9876174409,BSNL
806962436853,9406295099,BSNL
808764596678,9680766321,Vi
997327356306,9362840659,BSNL
754060372754,9257852756,Vi
459927052843,8048657307,BSNL
890037678608,8484336839,Jio
150922419448,8891636603,Jio
812342962972,8775870887,Vi
627129757266,8479413873,BSNL
125908740892,6971218441,Jio
171906371173,9084863020,Airtel
724055336858,7506096420,Jio
743555555957,7513148212,Airtel
853552997928,9286951620,Airtel
186252890428,8212016332,BSNL
505121225724,8571501869,Vi
890203912336,6916944835,Vi
266460996074,7940679410,Jio
856385986273,6809674831,Jio
688300380153,8105162334,Vi
319513615660,8821194065,BSNL
760043549913,6494429840,BSNL
102207077409,6942716491,Airtel
176241484466,7000596406,Jio
675757321194,9990444122,BSNL
907556164768,8046653310,BSNL
613753505551,8396686258,Jio
687425528647,7234034597,Vi
697653207426,8140092798,Airtel
976249267791,8908523459,Jio
770494081068,6408509372,Airtel
796345326808,8495607475,Vi
325016130040,6362404867,BSNL
250681239613,6499179828,Vi
355837183076,8444071301,Airtel
566008103566,7597650619,BSNL
339429718838,6728765969,Vi
211444470523,8468019845,Vi
814535319432,9770445151,Jio
169801000897,8542204785,BSNL
576248798562,9354336183,BSNL
408270756146,8874633927,Vi
351167221511,8282693441,Jio
985764192417,8299773866,Airtel
632393403928,7198944761,Airtel
722475799564,8989862230,Jio
831463234045,6397059526,Vi
976250210508,9524321703,BSNL
177185784044,6533144484,BSNL
201386473940,8538237477,Airtel
805632628436,7672607476,Airtel
107878550287,7657132056,BSNL
181513189157,9285874393,Jio
520439796985,7910799981,Jio
445154043993,8687536255,BSNL
862236453935,7043144492,Jio
641998741152,9254065955,BSNL
611580234486,7304348271,Airtel
266655010426,6314608943,Vi
433989713378,7295813691,Vi
515403844522,6296354300,Vi
328966409943,6563358024,Jio
322223844406,7459962086,Jio
556402135389,9364269367,Jio
680040179284,8304685692,Airtel
595671084316,8491959723,Vi
688724596715,9584823222,Jio
814169885591,6723139435,Jio
684869687377,8558805076,Jio
762422737960,7015456026,Vi
623844302660,9268225406,BSNL
708322504661,6866593675,Airtel
855331490885,7764877004,Airtel
774340200831,7811159342,BSNL
476184144824,8480050842,Airtel
988835757804,9954717463,Airtel
958258736635,7953125066,Airtel
882426078102,9030006407,Airtel
466766380029,9545826091,Jio
464576355927,9723584858,Airtel
677419624452,6600931869,Vi
134141025160,6423095226,Airtel
232135445947,8524582392,Vi
986587377383,8750247883,Jio
216245435732,8394438473,Airtel
396760532939,8873694755,BSNL
637233666832,7540455551,Jio
947470855091,8807825355,Airtel
215254404142,6827131015,Vi
605199247574,9835334277,Vi
994309556714,6960884038,Jio
209555140851,7426034168,Jio
759442161031,8098688373,BSNL
350071942725,8003056561,Vi
601347844727,8243106978,Airtel
961488975882,9894885517,Jio
369650817892,8582163802,BSNL
853770207365,9129707904,Airtel
819325159948,7035382138,BSNL
190235752440,9265411427,Jio
480557736026,9279246086,Vi
522030664018,9063091913,Vi
697359839324,6847885144,Vi
243033004983,8399412385,Airtel
217936481894,7139809240,Jio
945626337733,9450160846,Jio
288375228229,7726688147,Jio
996854248266,8003201390,Airtel
631449805573,6511341163,BSNL
216417740562,6584025747,Jio
899923907641,7188863689,Airtel
729628426482,6964877222,Airtel
508322971617,6169174567,Jio
538349799352,8009914419,BSNL
231552460470,7205711516,BSNL
888138555246,8443904467,Airtel
567128126354,7803955577,BSNL
926458882806,7100627769,Airtel
657702034924,6972660306,Vi
124069146767,9122402982,BSNL
431397755817,8885400368,Airtel
932193084377,7035533320,Jio
544503948769,8044429018,BSNL
946723563726,7573215510,Jio
932280298583,6577715635,BSNL
320599332691,6311976643,Airtel
125334112989,9784206272,Airtel
204980709743,6442021627,Vi
248798378217,6514889554,Jio
954278967938,7529047037,Airtel
725684495205,7002344597,BSNL
345989544068,7955726971,BSNL
849629317538,8096757860,Vi
589608788305,8588500721,BSNL
634002247290,6626665866,Vi
305342339028,7304181854,Airtel
146755287225,8535451698,BSNL
402358054003,9143222491,Airtel
722683972094,7960333086,BSNL
468123710328,7149951460,Airtel
687317891939,7382617306,Jio
518782657184,9881237008,Vi
865171659192,6849053093,Vi
957320233605,7277034363,Jio
694511330565,9680648810,Airtel
844577277941,6277770311,BSNL
532346746623,7815319361,BSNL
879415367405,6550027930,Vi
380895811020,9768200860,BSNL
232864217376,6212433284,BSNL
344341712984,9736129140,BSNL
191729782661,6551480870,Airtel
519734623878,7224245811,Vi
863467722881,6681302771,Airtel
282052934134,7092160240,Vi
879254709170,7275631579,Airtel
786232722797,9773770041,BSNL
566034470179,8313081539,Jio
969024746089,8817240993,Airtel
354319938065,7630136054,Vi
665634738736,6119086574,Vi
828297586616,8798323545,BSNL
812049513730,9215890088,BSNL
